vin,model,mfg_year,fuel_type
A944064K,Hino 268,2019,CNG
Z097439W,Freightliner M2,2016,Diesel
O339421P,Hino 268,2021,CNG
U047095I,International LT,2020,Diesel
I145623Y,Western Star 49X,2024,LNG
Q858842E,Navistar 4300,2016,Diesel
W451712O,Western Star 49X,2024,LNG
Q685160I,Peterbilt 579,2019,CNG
O175496X,Freightliner M2,2021,Diesel
U137098N,Freightliner M2,2023,Diesel
I317461C,Navistar 4300,2018,Diesel
I047113I,International LT,2021,Diesel
V675869U,Volvo VNL,2020,LNG
R261796C,Hino 268,2020,CNG
G537735R,Volvo VNL,2019,LNG
M585064H,Navistar 4300,2019,Diesel
Y713900V,Western Star 49X,2020,LNG
N329318L,Western Star 49X,2019,LNG
R335290J,Navistar 4300,2017,Diesel
I284210A,Peterbilt 579,2021,CNG
Q539502D,Western Star 49X,2017,LNG
C268117X,Hino 268,2024,CNG
O589178N,Mack Anthem,2021,Diesel
E084700Z,Navistar 4300,2015,Diesel
U617711M,Mack Anthem,2019,Diesel
J212499T,Peterbilt 579,2021,CNG
G569847M,Hino 268,2024,CNG
C611836O,International LT,2022,Diesel
U657661B,Freightliner Cascadia,2022,Electric
F545271F,Peterbilt 579,2023,CNG
D161528L,Freightliner Cascadia,2017,Electric
Q885165W,Volvo VNL,2019,LNG
G604945K,Navistar 4300,2024,Diesel
W832731J,International LT,2016,Diesel
J514936X,Peterbilt 579,2019,CNG
B998094L,Peterbilt 579,2018,CNG
J445502K,Kenworth T680,2015,Diesel
N612018Y,Freightliner M2,2018,Diesel
U675254U,Freightliner Cascadia,2024,Electric
W991022N,Volvo VNL,2022,LNG
M014767C,Western Star 49X,2024,LNG
B643815H,Peterbilt 579,2021,CNG
O497840Z,Freightliner Cascadia,2021,Electric
X900343I,Peterbilt 579,2017,CNG
V445107B,Freightliner M2,2016,Diesel
J226838Q,Western Star 49X,2018,LNG
D516060E,Kenworth T680,2023,Diesel
S596966H,Freightliner Cascadia,2015,Electric
S605297X,Navistar 4300,2018,Diesel
Z161369H,Volvo VNL,2022,LNG
X164535K,Kenworth T680,2022,Diesel
X181883W,Navistar 4300,2023,Diesel
M523124L,Hino 268,2020,CNG
W921277K,Freightliner Cascadia,2024,Electric
J979955C,Navistar 4300,2021,Diesel
D177449W,Navistar 4300,2022,Diesel
D814770X,Kenworth T680,2022,Diesel
Y411998D,Freightliner Cascadia,2019,Electric
U980793M,Peterbilt 579,2019,CNG
Z782071V,Navistar 4300,2022,Diesel
C182037H,Peterbilt 579,2019,CNG
Y892554A,Freightliner Cascadia,2016,Electric
G590515J,Mack Anthem,2018,Diesel
F644925L,Mack Anthem,2020,Diesel
T254629F,International LT,2023,Diesel
F486528P,Volvo VNL,2017,LNG
L685054N,Kenworth T680,2018,Diesel
E573322S,Western Star 49X,2017,LNG
X188805N,Peterbilt 579,2016,CNG
S296222X,Western Star 49X,2021,LNG
R927065U,International LT,2023,Diesel
I379473P,Freightliner Cascadia,2021,Electric
D473597X,Freightliner M2,2018,Diesel
M468862Z,Western Star 49X,2021,LNG
J924075G,Hino 268,2015,CNG
C814124G,Hino 268,2021,CNG
B261375A,Freightliner Cascadia,2015,Electric
F068536X,International LT,2019,Diesel
I305152C,Western Star 49X,2021,LNG
A472779F,Navistar 4300,2023,Diesel
H043289B,Hino 268,2018,CNG
P143410A,Freightliner Cascadia,2018,Electric
I971179B,Mack Anthem,2021,Diesel
A893246N,Freightliner Cascadia,2015,Electric
H539621X,Western Star 49X,2020,LNG
B188888Y,Western Star 49X,2017,LNG
W706540Y,Freightliner Cascadia,2017,Electric
I153195C,Hino 268,2023,CNG
O585277L,Freightliner M2,2021,Diesel
C217043Y,Hino 268,2024,CNG
I305486E,Freightliner M2,2016,Diesel
P403450V,Western Star 49X,2017,LNG
Y415667V,Freightliner Cascadia,2017,Electric
Z277584F,Freightliner M2,2019,Diesel
S616928U,Western Star 49X,2020,LNG
M115447T,Peterbilt 579,2022,CNG
U627570W,International LT,2020,Diesel
X964016G,Western Star 49X,2019,LNG
I202970E,Western Star 49X,2019,LNG
M355690J,Volvo VNL,2022,LNG
I755719H,Freightliner M2,2023,Diesel
B565431V,Freightliner M2,2020,Diesel
Q278681X,Peterbilt 579,2016,CNG
M473947H,Freightliner M2,2015,Diesel
Z217271R,Peterbilt 579,2018,CNG
T551884K,Freightliner M2,2024,Diesel
Y258313I,Kenworth T680,2018,Diesel
X370589D,Kenworth T680,2022,Diesel
Z829114T,Volvo VNL,2024,LNG
I786691U,Peterbilt 579,2022,CNG
X177852J,Mack Anthem,2020,Diesel
H922680H,Kenworth T680,2024,Diesel
W242253H,Hino 268,2016,CNG
I414384O,Kenworth T680,2019,Diesel
L498182L,Volvo VNL,2024,LNG
C229959B,Freightliner M2,2019,Diesel
A109439N,Hino 268,2021,CNG
P078447Z,Western Star 49X,2018,LNG
C647102A,Volvo VNL,2024,LNG
U773592T,Peterbilt 579,2016,CNG
J556258G,Mack Anthem,2024,Diesel
P537147J,Volvo VNL,2024,LNG
P104696K,Freightliner M2,2020,Diesel
G595327D,Navistar 4300,2021,Diesel
G747016D,International LT,2016,Diesel
S339500F,Navistar 4300,2020,Diesel
B974801I,Freightliner M2,2021,Diesel
D456506K,Freightliner Cascadia,2016,Electric
Y835841G,Western Star 49X,2020,LNG
I784991G,Freightliner Cascadia,2017,Electric
M655852M,Western Star 49X,2017,LNG
I868000T,Navistar 4300,2019,Diesel
G578729I,Hino 268,2023,CNG
V595269T,Freightliner Cascadia,2022,Electric
T958887K,Western Star 49X,2024,LNG
A470551L,Mack Anthem,2020,Diesel
K409749O,Peterbilt 579,2016,CNG
X097289Y,Mack Anthem,2022,Diesel
B230913C,Peterbilt 579,2022,CNG
G562636X,Hino 268,2024,CNG
J970283U,Western Star 49X,2020,LNG
I786527V,Freightliner M2,2022,Diesel
P854973R,International LT,2017,Diesel
S843443T,Freightliner Cascadia,2018,Electric
S757584H,International LT,2019,Diesel
S986652C,International LT,2019,Diesel
N415747M,Hino 268,2019,CNG
N848421V,Navistar 4300,2015,Diesel
O933083O,Navistar 4300,2018,Diesel
R016571X,Volvo VNL,2018,LNG
E208267P,Western Star 49X,2022,LNG
P345401K,Navistar 4300,2018,Diesel
C380262Z,Freightliner Cascadia,2022,Electric
K724004M,Freightliner Cascadia,2015,Electric
F154788I,Volvo VNL,2019,LNG
K874315U,Peterbilt 579,2021,CNG
K742054R,Peterbilt 579,2019,CNG
U329668F,Hino 268,2020,CNG
P612275A,Freightliner Cascadia,2023,Electric
T463745L,Navistar 4300,2020,Diesel
Q904530H,Western Star 49X,2023,LNG
S742684H,International LT,2020,Diesel
E459332J,Freightliner Cascadia,2019,Electric
W795687I,Mack Anthem,2019,Diesel
H339187T,Peterbilt 579,2016,CNG
G519108M,Peterbilt 579,2020,CNG
C982258H,Volvo VNL,2023,LNG
Z397187D,Kenworth T680,2018,Diesel
D728679J,Peterbilt 579,2022,CNG
V740640N,Mack Anthem,2024,Diesel
I910651D,Navistar 4300,2024,Diesel
X170462I,Mack Anthem,2016,Diesel
F656766R,Peterbilt 579,2019,CNG
Z825128H,Peterbilt 579,2020,CNG
R230047U,Kenworth T680,2019,Diesel
D868633W,Freightliner M2,2023,Diesel
N243106X,Kenworth T680,2019,Diesel
C033119C,Freightliner M2,2015,Diesel
O903067I,Navistar 4300,2019,Diesel
U302843K,Kenworth T680,2022,Diesel
J599534Q,Volvo VNL,2015,LNG
J836440L,Hino 268,2019,CNG
P268705Q,Freightliner Cascadia,2022,Electric
T685662Y,Freightliner Cascadia,2020,Electric
T287334J,Kenworth T680,2015,Diesel
H708668I,Mack Anthem,2022,Diesel
C634351X,Volvo VNL,2016,LNG
R183046M,Western Star 49X,2022,LNG
N901398E,Volvo VNL,2024,LNG
V354033H,Freightliner M2,2017,Diesel
J739363U,Kenworth T680,2024,Diesel
Q467854X,Mack Anthem,2016,Diesel
N877175X,Peterbilt 579,2016,CNG
B560932Q,Navistar 4300,2021,Diesel
M899642V,Hino 268,2024,CNG
P369378R,Hino 268,2018,CNG
U547772Y,Navistar 4300,2021,Diesel
I522872P,Freightliner Cascadia,2022,Electric
A080100I,Mack Anthem,2024,Diesel
D312038X,Western Star 49X,2019,LNG
A099770I,Hino 268,2024,CNG
I860084S,Freightliner M2,2024,Diesel
H086211J,Volvo VNL,2018,LNG
R339845Y,Peterbilt 579,2019,CNG
P615679S,Volvo VNL,2017,LNG
Y341016Y,Peterbilt 579,2017,CNG
F870021B,Navistar 4300,2016,Diesel
N591803S,Kenworth T680,2015,Diesel
I974014K,Western Star 49X,2022,LNG
J025039W,Hino 268,2022,CNG
K614293Y,Mack Anthem,2015,Diesel
V856218W,Peterbilt 579,2019,CNG
M016315X,Mack Anthem,2022,Diesel
Y996504C,Volvo VNL,2018,LNG
L735866R,Mack Anthem,2024,Diesel
T961943E,Peterbilt 579,2021,CNG
U142626X,Volvo VNL,2023,LNG
W110475R,Peterbilt 579,2017,CNG
J121267J,Mack Anthem,2017,Diesel
J861015F,Volvo VNL,2015,LNG
A995604Y,Kenworth T680,2019,Diesel
R183982Y,Hino 268,2024,CNG
J224447E,Mack Anthem,2022,Diesel
Y264647E,Volvo VNL,2022,LNG
M543799D,Mack Anthem,2021,Diesel
N124065Y,Mack Anthem,2023,Diesel
T575692U,Navistar 4300,2022,Diesel
U937526S,Freightliner Cascadia,2016,Electric
Y793564Z,Hino 268,2015,CNG
L519398R,Western Star 49X,2020,LNG
S807374E,Hino 268,2019,CNG
Q672434J,Freightliner M2,2016,Diesel
L661797Z,Peterbilt 579,2024,CNG
S886805Z,Hino 268,2015,CNG
K891135P,Mack Anthem,2024,Diesel
G909656A,Freightliner M2,2017,Diesel
L143888S,Freightliner Cascadia,2023,Electric
X937567R,Freightliner Cascadia,2019,Electric
G982507S,Kenworth T680,2024,Diesel
V611254D,Western Star 49X,2022,LNG
C387571U,Volvo VNL,2022,LNG
B751401V,International LT,2021,Diesel
K123828V,International LT,2020,Diesel
L867362O,Volvo VNL,2017,LNG
L660937B,International LT,2021,Diesel
K603341G,Freightliner Cascadia,2019,Electric
H825537Q,Western Star 49X,2023,LNG
Z785969L,Freightliner M2,2022,Diesel
R155792T,Volvo VNL,2020,LNG
H499125P,Mack Anthem,2020,Diesel
Y412528A,Volvo VNL,2021,LNG
F929662O,Navistar 4300,2015,Diesel
I828274L,Navistar 4300,2022,Diesel
F579050I,Western Star 49X,2015,LNG
R368876F,Peterbilt 579,2023,CNG
B677219Y,International LT,2024,Diesel
S340438K,Freightliner Cascadia,2022,Electric
K797881H,Freightliner M2,2018,Diesel
I485807N,Mack Anthem,2023,Diesel
Q613407W,Kenworth T680,2019,Diesel
S171339W,Freightliner Cascadia,2022,Electric
N962923Z,Volvo VNL,2015,LNG
I095849K,Hino 268,2018,CNG
R544948G,Kenworth T680,2019,Diesel
P260422J,Navistar 4300,2015,Diesel
O536729R,Navistar 4300,2021,Diesel
G667116V,Volvo VNL,2018,LNG
A457759X,Volvo VNL,2022,LNG
N175186B,Volvo VNL,2017,LNG
J374545K,Freightliner Cascadia,2019,Electric
G297500O,Navistar 4300,2019,Diesel
A701277B,Western Star 49X,2022,LNG
P324241X,Freightliner Cascadia,2018,Electric
O415206T,Freightliner Cascadia,2023,Electric
E361103E,Kenworth T680,2021,Diesel
A293870S,Peterbilt 579,2024,CNG
O516271Y,Navistar 4300,2017,Diesel
I111554Y,Volvo VNL,2019,LNG
N221890P,Western Star 49X,2020,LNG
N275326R,Navistar 4300,2019,Diesel
L731121U,Freightliner M2,2019,Diesel
R656523P,Mack Anthem,2024,Diesel
S138999X,Hino 268,2022,CNG
M043898V,Kenworth T680,2022,Diesel
H640376P,Navistar 4300,2022,Diesel
U791805I,International LT,2020,Diesel
W696582E,Navistar 4300,2023,Diesel
N109104C,Western Star 49X,2022,LNG
B068486S,International LT,2018,Diesel
R618892F,Peterbilt 579,2024,CNG
U418328Z,Western Star 49X,2018,LNG
P914630F,Western Star 49X,2015,LNG
T617990Q,International LT,2022,Diesel
F210202W,Western Star 49X,2021,LNG
V884252X,Kenworth T680,2022,Diesel
H410564E,Freightliner M2,2017,Diesel
X491778D,Navistar 4300,2024,Diesel
X792524G,International LT,2016,Diesel
A913800P,Freightliner Cascadia,2016,Electric
C075622J,Navistar 4300,2022,Diesel
R635365E,Freightliner M2,2017,Diesel
O951802Z,Western Star 49X,2017,LNG
X806174T,Volvo VNL,2022,LNG
M518705S,Mack Anthem,2020,Diesel
L949375F,Hino 268,2021,CNG
B383206O,Volvo VNL,2020,LNG
V850506U,Navistar 4300,2021,Diesel
F413836D,International LT,2022,Diesel
A241038S,Navistar 4300,2015,Diesel
I571918O,Hino 268,2016,CNG
Q619906I,Peterbilt 579,2019,CNG
U344565C,Peterbilt 579,2016,CNG
G431329J,Western Star 49X,2016,LNG
H127756I,Volvo VNL,2022,LNG
H537474F,Kenworth T680,2019,Diesel
J249035F,Freightliner M2,2015,Diesel
Q356804L,International LT,2015,Diesel
G067883D,Mack Anthem,2020,Diesel
I121003M,International LT,2021,Diesel
E651994B,Kenworth T680,2018,Diesel
H137215C,Navistar 4300,2021,Diesel
F702966B,Hino 268,2017,CNG
R662532R,Kenworth T680,2017,Diesel
P720999P,Volvo VNL,2024,LNG
F476870R,Western Star 49X,2024,LNG
O626383Z,Peterbilt 579,2022,CNG
Y806578F,Hino 268,2017,CNG
L598564B,Peterbilt 579,2022,CNG
Z593040E,Mack Anthem,2022,Diesel
P859321Q,Mack Anthem,2015,Diesel
Z348039Y,Freightliner Cascadia,2019,Electric
Z522395V,Navistar 4300,2017,Diesel
J590599K,Volvo VNL,2022,LNG
C378427F,International LT,2024,Diesel
E039308A,Mack Anthem,2021,Diesel
Z593252U,Mack Anthem,2022,Diesel
H002921X,Mack Anthem,2018,Diesel
T156915U,Western Star 49X,2022,LNG
T226752J,Volvo VNL,2018,LNG
T953926U,Western Star 49X,2024,LNG
X422096K,International LT,2024,Diesel
O029593K,Mack Anthem,2019,Diesel
W172513U,Freightliner M2,2021,Diesel
N215704P,Mack Anthem,2015,Diesel
Y154100C,Hino 268,2015,CNG
I626765Y,Hino 268,2022,CNG
E179327Z,Mack Anthem,2018,Diesel
E040541V,Hino 268,2020,CNG
V262181M,Peterbilt 579,2018,CNG
B970629K,Hino 268,2019,CNG
S015336J,Kenworth T680,2016,Diesel
D844431Z,Freightliner M2,2019,Diesel
A987205B,Freightliner Cascadia,2015,Electric
B149731N,Hino 268,2020,CNG
Y241714Z,Kenworth T680,2016,Diesel
L774186X,Mack Anthem,2020,Diesel
C652704D,Western Star 49X,2017,LNG
W434902S,Peterbilt 579,2017,CNG
O115869J,Navistar 4300,2020,Diesel
K068687P,Navistar 4300,2023,Diesel
K741608H,Mack Anthem,2017,Diesel
K992172N,Mack Anthem,2022,Diesel
M320616O,Mack Anthem,2020,Diesel
Y294511J,Volvo VNL,2022,LNG
A685487Y,Volvo VNL,2017,LNG
J998616J,Peterbilt 579,2021,CNG
X999119G,Navistar 4300,2020,Diesel
P485646F,Volvo VNL,2021,LNG
Z997024J,Freightliner M2,2019,Diesel
S996065P,Navistar 4300,2016,Diesel
Y074505T,Freightliner Cascadia,2020,Electric
T447132V,Mack Anthem,2024,Diesel
M754691C,Western Star 49X,2020,LNG
G367850Y,Volvo VNL,2018,LNG
X214862H,Freightliner Cascadia,2015,Electric
P902330C,Hino 268,2023,CNG
D705345G,International LT,2024,Diesel
M610357C,Peterbilt 579,2016,CNG
K279855Q,Freightliner Cascadia,2019,Electric
K140602X,Western Star 49X,2016,LNG
G333346B,Kenworth T680,2015,Diesel
O072290Q,Freightliner M2,2019,Diesel
D944665Q,Freightliner Cascadia,2016,Electric
L374896G,Volvo VNL,2018,LNG
S085899T,Navistar 4300,2017,Diesel
R171545Q,Western Star 49X,2022,LNG
Z432830Z,International LT,2023,Diesel
S965207Q,Western Star 49X,2024,LNG
M666099V,Kenworth T680,2021,Diesel
K387584Q,Volvo VNL,2022,LNG
V824172Q,Hino 268,2021,CNG
O825135V,Mack Anthem,2015,Diesel
S465549D,International LT,2018,Diesel
E170999E,Freightliner Cascadia,2022,Electric
A381684D,Peterbilt 579,2020,CNG
D223569J,Volvo VNL,2020,LNG
U521752O,Navistar 4300,2020,Diesel
K007432W,Freightliner M2,2021,Diesel
O271296B,Mack Anthem,2018,Diesel
I667600M,Volvo VNL,2022,LNG
R505830A,Volvo VNL,2018,LNG
Y335421G,Hino 268,2015,CNG
S942104D,Freightliner M2,2020,Diesel
V898562F,Peterbilt 579,2017,CNG
O532603U,Hino 268,2018,CNG
H230982X,Volvo VNL,2023,LNG
M064890D,Peterbilt 579,2024,CNG
Y100167H,Peterbilt 579,2018,CNG
T847230A,International LT,2017,Diesel
A184992G,Hino 268,2015,CNG
F891411M,Mack Anthem,2017,Diesel
T934835A,Kenworth T680,2023,Diesel
S420873E,Mack Anthem,2017,Diesel
K530011Q,Volvo VNL,2015,LNG
Q721811P,Kenworth T680,2015,Diesel
G374470L,International LT,2018,Diesel
G045561W,Hino 268,2020,CNG
C002255N,Freightliner M2,2017,Diesel
Z415521Z,Mack Anthem,2015,Diesel
H746762I,Kenworth T680,2021,Diesel
Z021697K,Navistar 4300,2016,Diesel
B729659R,Volvo VNL,2022,LNG
C277167E,Freightliner Cascadia,2020,Electric
O450899Q,Navistar 4300,2024,Diesel
Q588916U,Volvo VNL,2022,LNG
N375628D,Navistar 4300,2018,Diesel
E028772W,Hino 268,2015,CNG
G753540O,Navistar 4300,2019,Diesel
C866317Z,Freightliner Cascadia,2015,Electric
H971775F,Freightliner M2,2022,Diesel
J016608A,Western Star 49X,2021,LNG
N199488P,Volvo VNL,2022,LNG
V755037J,Freightliner Cascadia,2016,Electric
G997571W,Volvo VNL,2020,LNG
H305548X,Hino 268,2017,CNG
G102726Q,Volvo VNL,2017,LNG
D933163Y,Mack Anthem,2024,Diesel
H351609X,Hino 268,2023,CNG
A779827H,International LT,2021,Diesel
X086978L,Hino 268,2023,CNG
M922169U,Mack Anthem,2022,Diesel
Z866934V,Navistar 4300,2024,Diesel
S472269V,Western Star 49X,2016,LNG
M848583N,Volvo VNL,2023,LNG
I945228S,Peterbilt 579,2021,CNG
K515879Q,Freightliner Cascadia,2018,Electric
G684608B,Western Star 49X,2020,LNG
W620034Y,Freightliner Cascadia,2021,Electric
N244204W,Western Star 49X,2016,LNG
R805719V,International LT,2021,Diesel
Y838638Y,International LT,2019,Diesel
J406665D,International LT,2017,Diesel
O043973T,Freightliner Cascadia,2016,Electric
S598933C,Volvo VNL,2016,LNG
Y212281C,Volvo VNL,2021,LNG
L648422Q,Volvo VNL,2020,LNG
U057202M,Kenworth T680,2023,Diesel
W094798E,Freightliner M2,2024,Diesel
Y583281G,Navistar 4300,2023,Diesel
W268861O,International LT,2016,Diesel
W355543N,Western Star 49X,2020,LNG
C878015P,Western Star 49X,2015,LNG
Y993056H,Mack Anthem,2024,Diesel
X648408X,Mack Anthem,2020,Diesel
P887704M,Volvo VNL,2024,LNG
I581128A,Navistar 4300,2018,Diesel
I133613S,Kenworth T680,2022,Diesel
C612075F,Peterbilt 579,2016,CNG
K102481O,International LT,2023,Diesel
U466766B,International LT,2016,Diesel
W618091V,Mack Anthem,2024,Diesel
S901581Y,Peterbilt 579,2021,CNG
Z491476Q,Navistar 4300,2024,Diesel
V072832Z,Hino 268,2023,CNG
J842450J,Freightliner M2,2024,Diesel
Z210099I,Mack Anthem,2015,Diesel
A814353P,Kenworth T680,2019,Diesel
Q822239M,Mack Anthem,2020,Diesel
P129087J,International LT,2015,Diesel
U141413L,Kenworth T680,2017,Diesel
S755231N,Hino 268,2021,CNG
N135775Q,Volvo VNL,2017,LNG
Z492995U,Freightliner M2,2016,Diesel
T620533V,Navistar 4300,2018,Diesel
D645257C,Western Star 49X,2021,LNG
P547812M,Freightliner Cascadia,2020,Electric
U142834O,Kenworth T680,2020,Diesel
L110809Z,Mack Anthem,2020,Diesel
I930848E,Hino 268,2024,CNG
I256394D,Volvo VNL,2015,LNG
A881658Q,Kenworth T680,2017,Diesel
K392827L,Hino 268,2015,CNG
O992750W,Volvo VNL,2019,LNG
C731453Q,Freightliner Cascadia,2021,Electric
C385677C,Freightliner Cascadia,2024,Electric
I518449K,Freightliner Cascadia,2021,Electric
H266591Q,Mack Anthem,2018,Diesel
F638655Y,Navistar 4300,2016,Diesel
K790827O,International LT,2021,Diesel
K184322X,Volvo VNL,2019,LNG
E913651R,Hino 268,2022,CNG
B773926P,Navistar 4300,2019,Diesel
O029922G,Freightliner M2,2018,Diesel
L092024H,Western Star 49X,2024,LNG
N699041C,Freightliner M2,2015,Diesel
M977236J,Peterbilt 579,2019,CNG
U929842R,Peterbilt 579,2017,CNG
Y579913Y,Mack Anthem,2019,Diesel
R210388A,International LT,2016,Diesel
M291279C,Freightliner M2,2022,Diesel
M881172I,Western Star 49X,2017,LNG
S068650H,Kenworth T680,2021,Diesel
Z637659V,Navistar 4300,2018,Diesel
X916247O,Navistar 4300,2023,Diesel
M149864A,International LT,2016,Diesel
Y098180P,Western Star 49X,2015,LNG
B356512P,Western Star 49X,2015,LNG
X944869N,Freightliner Cascadia,2016,Electric
E463688L,International LT,2024,Diesel
K588744W,Western Star 49X,2024,LNG
G621372N,Western Star 49X,2021,LNG
K865890Y,Mack Anthem,2016,Diesel
F012796E,Western Star 49X,2015,LNG
U435190Y,International LT,2017,Diesel
X698490L,Hino 268,2022,CNG
M770384C,International LT,2016,Diesel
R988392C,Western Star 49X,2016,LNG
