vin,driver_id,start_timestamp,end_timestamp,daily_rate,region
H043289B,DRV_814,1721564610,1724243010,587.7,South
B970629K,DRV_818,1725745757,1733089757,359.03,Northwest
F668893O,DRV_352,1711116659,1713103859,504.41,North
L735866R,DRV_674,1722758556,1725177756,386.34,Northwest
W940196U,DRV_859,1710278604,1712870604,350.63,North
P615679S,DRV_997,1717017191,1722201191,384.38,North
X177852J,DRV_873,1724094716,1731525116,625.87,Northeast
U627570W,DRV_838,1717027056,,375.08,East
Q473799Y,DRV_463,1716942568,1717979368,625.18,South
I571918O,DRV_569,1713776610,1717319010,542.35,North
P345401K,DRV_167,1729404727,1730009527,432.91,Northwest
K891135P,DRV_564,1732796992,1738931392,408.5,East
Z782071V,DRV_864,1714683561,1722200361,360.46,South
N124065Y,DRV_103,1704634326,1709731926,471.28,South
F819600N,DRV_479,1731493577,1734603977,635.75,Central
V445107B,DRV_376,1732054654,1732918654,620.88,North
M468862Z,DRV_573,1734161726,1741592126,430.6,North
J078161S,DRV_256,1717253668,1721400868,375.96,North
K614293Y,DRV_370,1713536010,1713622410,512.5,North
J979955C,DRV_241,1731512876,1738079276,535.58,North
P078447Z,DRV_241,1704572006,1708719206,578.06,West
T254629F,DRV_758,1710855331,1714138531,463.38,Northeast
J970283U,DRV_242,1724932355,1729425155,532.08,Northwest
Q959310O,DRV_422,1711921616,1717969616,516.63,Northeast
G562636X,DRV_529,1719920945,1725796145,548.12,West
Y412528A,DRV_241,1706504857,,590.86,West
P586518V,DRV_473,1719285285,1720149285,619.04,North
P615679S,DRV_538,1712011129,,376.09,West
O951802Z,DRV_666,1729702803,1733677203,639.02,Central
S986652C,DRV_371,1731952174,1734025774,440.82,North
V595269T,DRV_214,1729603881,1735997481,391.76,North
F929662O,DRV_432,1716187292,1719902492,641.45,North
B188888Y,DRV_941,1719398829,1722682029,551.29,South
M355690J,DRV_821,1716988896,1723728096,372.39,Central
M899642V,DRV_256,1722569980,1724211580,532.57,Central
D814770X,DRV_928,1718688290,1721712290,392.27,West
C268117X,DRV_316,1723784954,1724648954,593.35,East
J861015F,DRV_868,1716362931,1719386931,381.57,Central
C611836O,DRV_490,1713920407,1718067607,600.5,East
D473597X,DRV_996,1721038951,,523.39,South
S138999X,DRV_266,1720741905,1720828305,355.42,Northeast
C346578H,DRV_132,1725277569,1729770369,561.24,East
Z782071V,DRV_733,1705840254,1710937854,598.18,East
M043898V,DRV_886,1710027316,1715643316,518.0,East
L949375F,DRV_217,1733778938,,376.69,Central
T685662Y,DRV_680,1710199883,1712014283,565.12,South
Q808412H,DRV_384,1718149501,1719013501,630.19,Northwest
K603341G,DRV_463,1704276814,,585.89,Central
O903067I,DRV_357,1729335637,1730026837,522.31,North
E459332J,DRV_259,1732381788,1737565788,382.76,Northwest
C634351X,DRV_716,1714636288,1716709888,574.26,North
S807374E,DRV_473,1711697906,,520.85,South
F430391U,DRV_854,1719581945,1720445945,528.09,Northeast
Q959310O,DRV_214,1720303079,1723154279,598.99,Northeast
P384251X,DRV_374,1723327527,1726783527,448.17,East
H134936I,DRV_256,1708793316,1715100516,473.96,Central
S843443T,DRV_967,1733098645,1737677845,528.55,East
T953926U,DRV_886,1729769596,1731065596,569.81,Central
S340438K,DRV_217,1721336672,1722978272,410.66,East
O536729R,DRV_771,1706840220,1709259420,567.61,North
A514627U,DRV_665,1715217007,1715735407,582.4,Northeast
E459332J,DRV_723,1711508869,1719112069,490.48,East
J167190J,DRV_649,1716144884,1721069684,579.18,Northwest
U717565Q,DRV_203,1733305092,1735033092,368.14,Northwest
V262174N,DRV_505,1718677528,1719109528,484.34,Central
M655852M,DRV_718,1728150819,1731002019,629.28,Central
W313678P,DRV_758,1714255658,1716242858,418.36,Northwest
H537474F,DRV_873,1732582080,1735951680,391.37,North
I284210A,DRV_987,1705848033,1710859233,628.1,Northeast
C346578H,DRV_799,1716150355,1721161555,455.73,East
O029593K,DRV_763,1709417647,1711750447,568.76,North
F154788I,DRV_854,1722214851,1725930051,447.37,North
Q278681X,DRV_873,1727549838,1731005838,549.82,Central
N204505R,DRV_144,1707413579,1708363979,488.81,Central
Z522395V,DRV_818,1707246640,1713899440,355.73,East
I095849K,DRV_821,1727694875,1732619675,366.2,Northeast
S966319O,DRV_448,1725335539,1725681139,536.29,South
I047113I,DRV_949,1727509419,1728459819,649.46,North
Q467854X,DRV_384,1710182189,1715106989,585.48,Central
G604945K,DRV_532,1704422060,1706236460,577.86,Northeast
H137215C,DRV_658,1706715983,1710258383,414.38,Northeast
Y806578F,DRV_320,1734484480,1738372480,546.4,Northeast
P345401K,DRV_665,1718836335,1725921135,451.94,West
R623869Y,DRV_858,1732076880,1737606480,482.88,South
S138999X,DRV_703,1719626242,1726279042,629.23,Northeast
S807374E,DRV_698,1726685283,1730746083,624.04,Northeast
K891135P,DRV_132,1705682661,1705855461,436.35,Northeast
D728679J,DRV_452,1714269842,1714442642,619.18,North
F819600N,DRV_982,1715751182,1717219982,613.49,West
J718227K,DRV_374,1724588240,1732364240,435.26,North
D456506K,DRV_171,1725101164,1731926764,636.62,Northeast
O589178N,DRV_241,1724756844,1726744044,457.75,Northwest
K891135P,DRV_649,1734578331,1738725531,452.14,North
B998094L,DRV_818,1706438212,,639.13,Central
Z522395V,DRV_674,1704505025,,521.36,Northwest
M655852M,DRV_532,1706539750,1712587750,481.77,East
F430391U,DRV_996,1727402691,1730081091,500.29,Northeast
A080100I,DRV_559,1728114199,1730533399,521.08,East
Q685160I,DRV_651,1727518032,1731665232,356.15,West
B565431V,DRV_801,1716716447,1718530847,352.41,South
R230047U,DRV_564,1731865109,,413.75,West
I317461C,DRV_180,1708429540,1712835940,381.73,Central
F131712T,DRV_881,1723599669,1724290869,548.45,Central
J025039W,DRV_996,1709081964,1711587564,442.31,Northwest
D534874F,DRV_130,1704578346,1705010346,542.95,West
N275326R,DRV_494,1705623952,1709598352,541.16,Central
T958887K,DRV_275,1721194615,1724045815,395.44,North
Z427849P,DRV_373,1717240068,1722164868,390.82,North
R623869Y,DRV_494,1715291551,1720389151,612.94,Central
T958887K,DRV_505,1719205201,1722834001,608.21,North
I330923E,DRV_698,1728795026,1735361426,443.51,West
J718227K,DRV_144,1732359097,1735037497,591.23,South
I485807N,DRV_125,1733754292,1741443892,461.01,Central
P776945F,DRV_323,1712651581,1717835581,616.98,Northeast
K874315U,DRV_559,1704104021,1709028821,590.35,Northwest
B627298Z,DRV_370,1728014805,,406.71,Northeast
X422096K,DRV_448,1707388238,1714559438,567.67,South
E013267N,DRV_750,1734497860,1740373060,506.68,West
A995604Y,DRV_214,1727098809,1731159609,480.12,Northwest
W365414P,DRV_510,1718714732,1721133932,449.69,Central
Q998543T,DRV_649,1723815367,1727357767,489.13,West
B646417V,DRV_981,1727244316,1728367516,505.03,Northeast
C346578H,DRV_214,1730009024,1733810624,493.63,Northwest
R544948G,DRV_666,1724329845,,643.73,Central
J590599K,DRV_925,1721130310,1727610310,401.71,Central
O780913R,DRV_338,1733664487,1737120487,547.21,Central
Z769367P,DRV_448,1728306333,1733663133,366.19,Central
J167190J,DRV_241,1713950508,1719912108,627.99,South
X200379E,DRV_796,1709284480,1709975680,433.23,West
C431611K,DRV_263,1711161362,1712630162,608.08,Northeast
O337543B,DRV_132,1718209056,1722269856,563.16,Northeast
M116155Q,DRV_165,1708312942,1715311342,388.27,Northeast
D408240J,DRV_658,1713361717,1721137717,605.71,South
W110475R,DRV_376,1720778213,1724752613,388.16,North
Q125674Z,DRV_463,1728154327,,583.05,South
X370589D,DRV_127,1718090559,1721805759,472.15,West
O777014Z,DRV_754,1726957427,1727648627,587.91,South
Z593040E,DRV_376,1719398825,1724496425,620.93,North
E459332J,DRV_771,1711591612,1713060412,555.14,Northeast
B627298Z,DRV_697,1707075651,1711741251,593.89,Northeast
D309805D,DRV_886,1714084472,1718318072,362.26,South
O933083O,DRV_448,1721880775,1724299975,585.55,East
D680876M,DRV_887,1722227269,,466.13,South
A236231A,DRV_352,1706790473,1709036873,475.94,North
Y258313I,DRV_704,1716378069,1720870869,460.57,Northwest
F644925L,DRV_799,1719519169,1720037569,560.13,South
E107991I,DRV_862,1721251934,1725658334,368.13,Central
O379237Q,DRV_996,1729671481,1732522681,360.85,West
X164535K,DRV_194,1727047214,1730503214,406.57,South
J970283U,DRV_646,1715602875,1715775675,531.36,South
I971179B,DRV_444,1708411685,1710312485,480.15,Northwest
K569816M,DRV_716,1713983128,1715624728,585.75,Northeast
Z769367P,DRV_887,1715593907,1722851507,446.17,Northeast
A236231A,DRV_303,1726856625,1732559025,540.87,North
G595327D,DRV_373,1720609276,1727262076,535.31,Northeast
D728679J,DRV_750,1709017113,1716101913,443.34,Northwest
L735866R,DRV_617,1726146519,1732799319,464.08,South
T685574Q,DRV_371,1715436631,1718115031,566.05,East
E039308A,DRV_801,1710330436,1714391236,459.4,South
S740344D,DRV_649,1712816251,1715062651,360.42,Northeast
U717565Q,DRV_323,1706707449,1710768249,508.7,West
Z884969X,DRV_463,1728185051,1731209051,490.07,Northeast
Z161369H,DRV_579,1722982352,1730499152,449.25,West
D177449W,DRV_864,1727961523,1730985523,632.82,Northeast
C268117X,DRV_489,1716163324,1718841724,519.3,Northwest
D951718A,DRV_799,1717041330,1723694130,464.69,Northwest
R387262D,DRV_573,1711067383,1714177783,403.12,East
W991022N,DRV_350,1722035142,1729811142,521.81,Northwest
P859321Q,DRV_621,1734838796,1738294796,594.43,South
V611254D,DRV_173,1724063780,1725705380,631.99,Central
J226838Q,DRV_763,1714203559,1719214759,606.03,South
J078161S,DRV_324,1733263439,1736373839,460.38,Northeast
P345401K,DRV_529,1712982447,1715056047,629.94,East
J331509O,DRV_532,1712951471,1720209071,408.62,Northwest
I571918O,DRV_263,1718007593,1719303593,445.02,East
J167190J,DRV_838,1731232641,1731923841,473.79,Northeast
L660937B,DRV_801,1711650685,1712860285,554.2,North
H328710J,DRV_317,1725730497,1733333697,498.7,Central
G297500O,DRV_954,1734928974,1736829774,386.07,East
Y264647E,DRV_758,1719053754,1720090554,517.09,East
F668893O,DRV_467,1716239006,1723583006,618.88,West
B383206O,DRV_374,1730827211,1735924811,603.24,Northeast
B383206O,DRV_494,1720779163,1721383963,408.2,South
H410564E,DRV_256,1735398947,,508.71,Northwest
U617711M,DRV_887,1731593772,1733235372,483.41,West
S738721G,DRV_674,1718494756,1722987556,472.02,South
C217043Y,DRV_754,1707807684,1710918084,543.71,North
P720999P,DRV_261,1725182996,1732958996,395.75,West
L598564B,DRV_771,1706177163,1706522763,460.25,Northeast
C229959B,DRV_911,1705598298,,395.59,Northwest
D312038X,DRV_259,1728544763,,405.89,West
V354033H,DRV_204,1708090882,,440.34,Central
P615679S,DRV_325,1729878590,1732297790,508.73,Northeast
Y341016Y,DRV_716,1720655743,1722556543,409.54,South
X900343I,DRV_605,1715672443,1719560443,505.43,West
S966319O,DRV_217,1704966089,1711618889,522.68,Northeast
B068486S,DRV_941,1730376996,1733141796,565.74,Central
D161528L,DRV_911,1726981035,1729400235,394.51,South
C033119C,DRV_641,1729932896,1734857696,534.78,Central
P612275A,DRV_470,1709915950,1710002350,605.86,Northeast
Y341016Y,DRV_718,1730302024,1734276424,417.99,West
P384251X,DRV_374,1715811521,1716243521,377.49,North
G578729I,DRV_801,1705595996,1711298396,532.14,Northwest
O029593K,DRV_529,1729719269,1735335269,598.93,South
J226838Q,DRV_204,1707378025,1707550825,396.79,North
Q885165W,DRV_256,1732431491,1738565891,638.82,Northeast
K409749O,DRV_873,1710203802,1711240602,497.9,Northwest
R656523P,DRV_873,1718654714,1721592314,427.48,West
S616928U,DRV_489,1714949299,1719874099,389.31,South
E179327Z,DRV_452,1727248335,1728976335,398.42,Northeast
X177852J,DRV_381,1725365554,1726575154,437.61,South
C611836O,DRV_371,1726560512,1732867712,594.71,Northeast
Z825128H,DRV_881,1710061303,1714035703,463.11,Northwest
L949375F,DRV_621,1715392956,1717812156,364.79,West
Q125674Z,DRV_148,1730587139,1735943939,423.39,Northwest
J836440L,DRV_658,1721903818,1722595018,555.1,West
O780913R,DRV_833,1731839302,,550.7,South
B068486S,DRV_371,1714297626,1715680026,447.19,North
L949375F,DRV_911,1706474297,1708979897,402.35,Northeast
Z299737A,DRV_167,1730392164,1733588964,418.77,Northwest
J121267J,DRV_894,1726107461,1730168261,444.15,East
R368876F,DRV_894,1705578254,1709639054,520.6,Northwest
B912419T,DRV_193,1726202664,1726980264,478.44,Northeast
I766270G,DRV_195,1706667439,1712974639,551.97,East
S296222X,DRV_743,1704634504,1710941704,377.4,Northeast
O497840Z,DRV_698,1711164632,1717731032,514.14,East
I095849K,DRV_881,1706087113,1711443913,593.36,North
J932480A,DRV_448,1718649848,1720464248,371.34,Northwest
T685662Y,DRV_423,1707291579,1708846779,376.94,East
D309805D,DRV_489,1723246028,1726010828,479.0,Central
D814770X,DRV_432,1721917496,1728224696,471.8,Central
T226752J,DRV_997,1719991008,,477.91,West
D499471S,DRV_338,1730839941,1737579141,405.61,West
T685662Y,DRV_818,1726714766,1727060366,451.74,Central
N215704P,DRV_422,1722010941,1728922941,513.41,East
C399049W,DRV_981,1735473121,1737805921,555.48,Northeast
P615679S,DRV_333,1710879263,1712175263,538.99,West
R335290J,DRV_333,1710388053,1710733653,551.63,Northwest
N415747M,DRV_981,1715303611,1717377211,393.42,South
R406088U,DRV_864,1706390947,1710365347,582.38,West
R544948G,DRV_314,1713203650,1716400450,486.83,East
M115447T,DRV_214,1727923275,,476.26,Central
I153195C,DRV_763,1714340572,1717796572,578.75,West
D177449W,DRV_171,1723273617,1728284817,627.01,North
T254629F,DRV_489,1717007698,1720895698,647.18,East
R618892F,DRV_338,1705175377,1705434577,455.9,Northeast
D496499N,DRV_886,1710750566,1711182566,465.84,East
G562636X,DRV_267,1724752121,1726825721,482.41,North
O951802Z,DRV_148,1723039971,1730297571,520.79,West
S812067M,DRV_181,1710975676,1711580476,528.07,Northeast
W265423V,DRV_259,1716415460,1720303460,508.7,West
Y892554A,DRV_165,1710991830,1715743830,646.23,Northwest
I317461C,DRV_241,1713797343,1719672543,517.88,Central
C387571U,DRV_987,1724593253,1728999653,434.51,Northeast
D473597X,DRV_227,1714084442,1717799642,612.4,East
Q672434J,DRV_718,1714381548,1717232748,587.51,East
W795687I,DRV_325,1717338713,1723645913,526.73,Northwest
S742684H,DRV_649,1732044328,1734981928,485.27,South
S757584H,DRV_743,1733496900,1738076100,507.75,Northeast
N221890P,DRV_911,1727542155,1733762955,417.36,Central
R335290J,DRV_510,1718164364,1719633164,493.11,South
S757584H,DRV_710,1731500378,1737461978,614.7,Central
R618892F,DRV_743,1707414555,1710179355,640.2,Northwest
P854973R,DRV_804,1708398700,1709089900,384.54,West
V611254D,DRV_858,1720137430,1723766230,605.49,East
A454948H,DRV_691,1725216466,1729795666,491.79,Central
S738721G,DRV_996,1708283681,1708715681,362.87,East
J970283U,DRV_573,1732529967,1735899567,369.23,Northeast
E459332J,DRV_370,1723078253,1723683053,392.43,Northeast
X792524G,DRV_954,1707645313,1709200513,411.21,Northwest
W706540Y,DRV_987,1732872729,1737279129,508.63,Central
X164535K,DRV_444,1715165911,1721645911,553.26,West
N215704P,DRV_754,1722702567,1727540967,373.66,Central
E459332J,DRV_452,1706375219,1709312819,515.77,South
V826398I,DRV_357,1715048091,1719454491,375.39,South
Z593040E,DRV_611,1722546634,,411.41,South
N507527W,DRV_750,1709354416,1716784816,360.05,South
W313678P,DRV_333,1719419000,1722702200,471.97,Northeast
C634216E,DRV_381,1714175735,1716767735,564.26,West
Z829114T,DRV_887,1727325334,1734842134,468.87,Northwest
B974801I,DRV_242,1705163407,1711297807,646.57,Northeast
I317461C,DRV_111,1727818583,1729460183,434.17,Northwest
O933083O,DRV_658,1709200713,1716458313,548.8,West
J924075G,DRV_691,1706228484,1711412484,648.06,East
D408240J,DRV_396,1706028300,1707756300,588.18,Northwest
N612018Y,DRV_658,1709548971,1711363371,532.85,East
L685054N,DRV_799,1715420021,1717493621,451.03,Northwest
G909656A,DRV_545,1709418563,1711664963,506.09,South
V740640N,DRV_144,1704379903,,449.06,Central
C634216E,DRV_452,1710926100,1711098900,415.84,East
Z782071V,DRV_963,1718863805,1719641405,386.86,West
F929662O,DRV_324,1716321281,1716494081,478.06,Northwest
S616928U,DRV_324,1724534100,1728422100,444.56,Northeast
Z299737A,DRV_384,1713395131,1720566331,366.82,South
Q356804L,DRV_144,1728720182,1735200182,427.49,West
I330923E,DRV_847,1705041734,1707460934,625.37,Northwest
S738721G,DRV_858,1708330485,1714378485,370.43,Northwest
N848421V,DRV_887,1730815560,1731074760,565.31,South
N901398E,DRV_703,1713887712,1714492512,367.55,Northwest
C075622J,DRV_217,1717944881,1720882481,513.94,Northeast
Z785969L,DRV_833,1731974321,1737244721,557.3,East
P324241X,DRV_665,1717956049,1719165649,599.72,Northwest
O067165D,DRV_400,1705746479,1710066479,512.49,Central
X491778D,DRV_376,1709237473,1716754273,394.5,Central
X491778D,DRV_132,1710102928,1711830928,362.03,Central
Y412528A,DRV_579,1715584494,1719904494,510.13,Northeast
F131712T,DRV_374,1728384334,1730025934,495.64,Northeast
Q473799Y,DRV_670,1723307426,1724171426,379.92,North
P384251X,DRV_658,1708067754,1713942954,504.05,South
F870021B,DRV_384,1727164729,1733299129,625.46,Central
C346578H,DRV_710,1734814158,1735678158,364.85,Northwest
I202970E,DRV_296,1727340082,1727772082,629.76,Central
A236231A,DRV_750,1707542399,1714108799,535.18,Northeast
Q885165W,DRV_259,1724138710,1727681110,619.22,North
Q278681X,DRV_833,1709860825,1711848025,497.67,West
S886805Z,DRV_180,1712448202,1714953802,404.54,North
J514936X,DRV_296,1709088738,1710730338,402.84,Northeast
G537735R,DRV_710,1731276786,1734214386,543.81,Northwest
X422096K,DRV_204,1734560515,1736720515,350.45,Central
N175186B,DRV_194,1710857163,1714140363,482.85,Northwest
S525534R,DRV_777,1720918348,1726707148,529.77,East
J078161S,DRV_743,1719657425,1719916625,353.1,East
H339187T,DRV_490,1716734775,1722350775,371.41,Northwest
X792524G,DRV_891,1710424640,1718027840,427.21,Northeast
G431329J,DRV_320,1717397065,1722149065,412.76,Central
L519398R,DRV_396,1717962588,1720554588,485.71,West
Y415667V,DRV_396,1730735940,1732636740,457.61,South
D413164O,DRV_846,1706770123,1711262923,375.11,Northwest
T463745L,DRV_384,1704999240,1712256840,567.54,South
A236231A,DRV_698,1713658316,,627.22,Northwest
C182037H,DRV_452,1705477879,1707205879,444.74,Northeast
I974014K,DRV_651,1717563570,1720155570,488.98,Northeast
O536729R,DRV_925,1725735061,1730314261,536.73,East
J739363U,DRV_261,1710103152,1710621552,372.8,Northeast
V826398I,DRV_605,1721326662,1721672262,515.37,North
W313678P,DRV_199,1728355621,1729565221,511.49,Northwest
X932528H,DRV_858,1713214519,1719608119,605.3,Northeast
B068486S,DRV_263,1706222479,1713393679,605.15,North
H002921X,DRV_384,1730310489,1731174489,438.82,Northeast
Q356804L,DRV_818,1727932078,1732079278,610.92,Central
F644925L,DRV_771,1720827757,1725320557,352.53,Northwest
O933083O,DRV_818,1721879177,1725507977,511.17,West
O175496X,DRV_777,1729235594,1730790794,552.12,North
S340438K,DRV_818,1710028526,1716335726,624.67,West
B261375A,DRV_981,1721663728,1727020528,444.1,East
Z785969L,DRV_373,1717076816,1724161616,633.72,West
S886805Z,DRV_333,1730074260,1731456660,567.27,South
Z097439W,DRV_911,1710116815,1711412815,564.46,West
P260422J,DRV_106,1710074976,1710938976,355.13,Northeast
R387262D,DRV_858,1713607466,1715421866,509.57,Northwest
E040541V,DRV_818,1713509568,1718952768,625.11,Central
K603341G,DRV_666,1733120006,1734416006,608.81,West
A587603Y,DRV_545,1717698730,1724265130,643.03,East
S757584H,DRV_579,1721745216,1722868416,504.11,South
O337543B,DRV_373,1722507130,,612.56,West
Z782071V,DRV_350,1728813609,1736503209,561.87,North
T389083P,DRV_564,1735482409,1737728809,511.77,South
Y835841G,DRV_763,1710393957,,539.54,East
P260422J,DRV_259,1713132023,1715896823,619.74,Central
Y996504C,DRV_754,1735451249,1739425649,398.55,West
R656523P,DRV_241,1709802192,1717146192,580.19,North
A311656D,DRV_670,1717425473,1723387073,399.2,West
X937567R,DRV_488,1735392355,1738157155,403.19,Central
B383206O,DRV_199,1733662683,1739278683,465.61,Northwest
O951802Z,DRV_199,1711264295,1716621095,574.1,Central
O589178N,DRV_148,1707893905,1714892305,623.92,Northwest
O415206T,DRV_564,1717572538,1719559738,381.43,West
G578729I,DRV_777,1730138036,,372.32,South
V354033H,DRV_374,1730612176,1732426576,417.68,Central
A587603Y,DRV_303,1726650235,1732698235,569.33,South
U657661B,DRV_881,1719538699,1726191499,368.99,West
Y713900V,DRV_111,1735537753,,635.8,West
Q278681X,DRV_373,1707253928,,576.66,Northeast
W991022N,DRV_651,1709672405,1709758805,630.3,Central
J280598B,DRV_263,1731354290,1734378290,372.52,South
C217043Y,DRV_470,1718985321,1723564521,625.47,Northeast
O337543B,DRV_750,1723979098,1728644698,509.97,South
D456506K,DRV_641,1714096907,1717984907,403.46,Northeast
D413164O,DRV_838,1731645877,1733373877,463.06,Northeast
T226752J,DRV_173,1721980789,1726300789,533.49,East
S757584H,DRV_674,1708709986,1712338786,442.41,Central
K724004M,DRV_242,1733967860,1735782260,417.05,East
B560932Q,DRV_488,1725148596,,483.3,East
M518705S,DRV_384,1723506341,,430.44,West
N788957U,DRV_261,1724781778,1729360978,646.54,East
R387262D,DRV_261,1718759771,1725153371,495.33,Central
F819600N,DRV_569,1730301627,1736954427,555.8,West
F131712T,DRV_371,1715876458,1723479658,521.29,West
O780913R,DRV_323,1721148383,1723308383,590.59,Northwest
I145623Y,DRV_818,1717856510,1723040510,601.67,Central
C378427F,DRV_873,1715588539,1717921339,524.46,Northwest
G595327D,DRV_765,1716845420,1720128620,510.11,East
D759464T,DRV_891,1704398594,1711137794,542.0,Northwest
X181883W,DRV_125,1715028326,1716929126,616.29,North
D990162L,DRV_173,1708749418,,470.06,Central
P612275A,DRV_532,1704673803,1710721803,510.39,East
W832731J,DRV_997,1707569432,,613.18,Central
T958887K,DRV_444,1733425114,1740855514,448.96,East
Q467854X,DRV_611,1722557880,1725236280,571.07,East
O516271Y,DRV_756,1707623510,1713757910,645.27,South
Q959310O,DRV_877,1735120294,1740131494,624.56,North
V104332G,DRV_967,1705608162,1713124962,467.11,Northeast
D814770X,DRV_833,1723937257,1730590057,410.99,East
S605297X,DRV_296,1707325046,1713545846,519.6,Northwest
J924075G,DRV_611,1726379771,1729662971,520.84,Central
V611254D,DRV_157,1734735300,1734994500,509.25,South
G590515J,DRV_212,1731033080,,539.31,South
X188805N,DRV_463,1733882178,1741571778,419.28,East
Q858842E,DRV_487,1708480503,1715133303,362.98,West
O615865T,DRV_532,1715574494,1720326494,628.74,Northwest
